germ_index,germ,stage1_method,candidate_pairs,candidate_probability_rows,stage1_matrix_rows,stage1_rank_before_global_cssp,proxy_rank_before_global_cssp,twirled_commutant_dimension,elapsed_seconds
0,"Qubit 0 ---| |---
Qubit 1 ---| |---
",twirled_derivative,176,704,256,16,16,16,0.7500949680033955
1,"Qubit 0 ---|Gxpi2|---
Qubit 1 ---|     |---
",twirled_derivative,176,704,256,16,16,16,0.7233255020037177
2,"Qubit 0 ---|Gypi2|---
Qubit 1 ---|     |---
",twirled_derivative,176,704,256,16,16,16,0.738448187999893
3,"Qubit 0 ---|     |---
Qubit 1 ---|Gxpi2|---
",twirled_derivative,176,704,256,16,16,16,0.6214531899968279
4,"Qubit 0 ---|     |---
Qubit 1 ---|Gypi2|---
",twirled_derivative,176,704,256,16,16,16,0.6313690659953863
5,"Qubit 0 ---|C1|---
Qubit 1 ---|T0|---
",twirled_derivative,176,704,256,16,16,16,0.6321427639995818
6,"Qubit 0 ---|Gxpi2|-|Gypi2|---
Qubit 1 ---|     |-|     |---
",twirled_derivative,176,704,256,16,16,16,0.6228737450001063
7,"Qubit 0 ---|     |-|     |---
Qubit 1 ---|Gxpi2|-|Gypi2|---
",twirled_derivative,176,704,256,16,16,16,0.6065431589959189
8,"Qubit 0 ---|Gxpi2|-|Gxpi2|-|Gypi2|---
Qubit 1 ---|     |-|     |-|     |---
",twirled_derivative,176,704,256,16,16,16,0.7226598790002754
9,"Qubit 0 ---|     |-|     |-|     |---
Qubit 1 ---|Gxpi2|-|Gxpi2|-|Gypi2|---
",twirled_derivative,176,704,256,16,16,16,0.7224963679982466
10,"Qubit 0 ---|C1|-|     |-|Gxpi2|-|Gxpi2|---
Qubit 1 ---|T0|-|Gxpi2|-|     |-|     |---
",twirled_derivative,176,704,256,16,16,16,0.7492104280026979
11,"Qubit 0 ---|Gxpi2|-|     |-|     |-|Gxpi2|-|     |-|Gypi2|---
Qubit 1 ---|     |-|Gxpi2|-|Gypi2|-|     |-|Gypi2|-|     |---
",twirled_derivative,176,704,256,16,16,16,1.2870360239976435
12,"Qubit 0 ---|Gxpi2|-|     |-|     |-|Gypi2|-|     |-|     |---
Qubit 1 ---|     |-|Gypi2|-|Gxpi2|-|     |-|Gxpi2|-|Gxpi2|---
",twirled_derivative,176,704,256,16,16,16,0.740244945998711
13,"Qubit 0 ---|Gypi2|-|     |-|Gxpi2|-|Gypi2|-|Gxpi2|-|C1|---
Qubit 1 ---|     |-|Gypi2|-|     |-|     |-|     |-|T0|---
",twirled_derivative,176,704,256,16,16,16,0.896064178996312
14,"Qubit 0 ---|Gypi2|-|Gxpi2|-|     |-|Gxpi2|-|     |-|Gxpi2|-|Gypi2|-|     |---
Qubit 1 ---|     |-|     |-|Gypi2|-|     |-|Gxpi2|-|     |-|     |-|Gypi2|---
",twirled_derivative,176,704,256,16,16,16,0.7411064460029593
