germ_index,germ,selected_directions_r_g,selected_fiducial_pairs,candidate_fiducial_pairs,achieved_rank,rank_complete,elapsed_seconds
0,"Qubit 0 ---| |---
Qubit 1 ---| |---
",16,4,176,16,True,0.007451883000612725
1,"Qubit 0 ---|Gxpi2|---
Qubit 1 ---|     |---
",16,4,176,16,True,0.009180519002256915
2,"Qubit 0 ---|Gypi2|---
Qubit 1 ---|     |---
",16,4,176,16,True,0.009086719001061283
3,"Qubit 0 ---|     |---
Qubit 1 ---|Gxpi2|---
",16,4,176,16,True,0.008658355996885803
4,"Qubit 0 ---|     |---
Qubit 1 ---|Gypi2|---
",16,4,176,16,True,0.01002575099846581
5,"Qubit 0 ---|C1|---
Qubit 1 ---|T0|---
",16,4,176,16,True,0.008465148996037897
6,"Qubit 0 ---|Gxpi2|-|Gypi2|---
Qubit 1 ---|     |-|     |---
",16,4,176,16,True,0.006242989999009296
7,"Qubit 0 ---|     |-|     |---
Qubit 1 ---|Gxpi2|-|Gypi2|---
",16,4,176,16,True,0.0071791849986766465
8,"Qubit 0 ---|Gxpi2|-|Gxpi2|-|Gypi2|---
Qubit 1 ---|     |-|     |-|     |---
",16,4,176,16,True,0.00550291700346861
9,"Qubit 0 ---|     |-|     |-|     |---
Qubit 1 ---|Gxpi2|-|Gxpi2|-|Gypi2|---
",16,4,176,16,True,0.004801956005394459
10,"Qubit 0 ---|C1|-|     |-|Gxpi2|-|Gxpi2|---
Qubit 1 ---|T0|-|Gxpi2|-|     |-|     |---
",16,4,176,16,True,0.004470608997507952
11,"Qubit 0 ---|Gxpi2|-|     |-|     |-|Gxpi2|-|     |-|Gypi2|---
Qubit 1 ---|     |-|Gxpi2|-|Gypi2|-|     |-|Gypi2|-|     |---
",16,4,176,16,True,0.004503894000663422
12,"Qubit 0 ---|Gxpi2|-|     |-|     |-|Gypi2|-|     |-|     |---
Qubit 1 ---|     |-|Gypi2|-|Gxpi2|-|     |-|Gxpi2|-|Gxpi2|---
",16,4,176,16,True,0.004534872998192441
13,"Qubit 0 ---|Gypi2|-|     |-|Gxpi2|-|Gypi2|-|Gxpi2|-|C1|---
Qubit 1 ---|     |-|Gypi2|-|     |-|     |-|     |-|T0|---
",16,4,176,16,True,0.0045453220009221695
14,"Qubit 0 ---|Gypi2|-|Gxpi2|-|     |-|Gxpi2|-|     |-|Gxpi2|-|Gypi2|-|     |---
Qubit 1 ---|     |-|     |-|Gypi2|-|     |-|Gxpi2|-|     |-|     |-|Gypi2|---
",16,4,176,16,True,0.00443057699885685
