germ_index,germ,selected_directions_r_g,selected_fiducial_pairs,candidate_fiducial_pairs,achieved_rank,rank_complete,elapsed_seconds
0,"Qubit 0 ---| |---
Qubit 1 ---| |---
",16,4,176,16,True,0.0065875930013135076
1,"Qubit 0 ---|Gxpi2|---
Qubit 1 ---|     |---
",16,4,176,16,True,0.009424530995602254
2,"Qubit 0 ---|Gypi2|---
Qubit 1 ---|     |---
",16,4,176,16,True,0.00813013000151841
3,"Qubit 0 ---|     |---
Qubit 1 ---|Gxpi2|---
",16,4,176,16,True,0.00940146499488037
4,"Qubit 0 ---|     |---
Qubit 1 ---|Gypi2|---
",16,4,176,16,True,0.00944080399494851
5,"Qubit 0 ---|C1|---
Qubit 1 ---|T0|---
",16,4,176,16,True,0.010567919998720754
6,"Qubit 0 ---|Gxpi2|-|Gypi2|---
Qubit 1 ---|     |-|     |---
",16,4,176,16,True,0.006140951998531818
7,"Qubit 0 ---|     |-|     |---
Qubit 1 ---|Gxpi2|-|Gypi2|---
",16,4,176,16,True,0.006620526000915561
8,"Qubit 0 ---|Gxpi2|-|Gxpi2|-|Gypi2|---
Qubit 1 ---|     |-|     |-|     |---
",16,4,176,16,True,0.0057889019954018295
9,"Qubit 0 ---|     |-|     |-|     |---
Qubit 1 ---|Gxpi2|-|Gxpi2|-|Gypi2|---
",16,4,176,16,True,0.004690768000727985
10,"Qubit 0 ---|C1|-|     |-|Gxpi2|-|Gxpi2|---
Qubit 1 ---|T0|-|Gxpi2|-|     |-|     |---
",16,4,176,16,True,0.004637964004359674
11,"Qubit 0 ---|Gxpi2|-|     |-|     |-|Gxpi2|-|     |-|Gypi2|---
Qubit 1 ---|     |-|Gxpi2|-|Gypi2|-|     |-|Gypi2|-|     |---
",16,4,176,16,True,0.00454872299451381
12,"Qubit 0 ---|Gxpi2|-|     |-|     |-|Gypi2|-|     |-|     |---
Qubit 1 ---|     |-|Gypi2|-|Gxpi2|-|     |-|Gxpi2|-|Gxpi2|---
",16,4,176,16,True,0.00471253199793864
13,"Qubit 0 ---|Gypi2|-|     |-|Gxpi2|-|Gypi2|-|Gxpi2|-|C1|---
Qubit 1 ---|     |-|Gypi2|-|     |-|     |-|     |-|T0|---
",16,4,176,16,True,0.004673543997341767
14,"Qubit 0 ---|Gypi2|-|Gxpi2|-|     |-|Gxpi2|-|     |-|Gxpi2|-|Gypi2|-|     |---
Qubit 1 ---|     |-|     |-|Gypi2|-|     |-|Gxpi2|-|     |-|     |-|Gypi2|---
",16,4,176,16,True,0.004573518999677617
